timestamp,server,cpu_pct,memory_mb,disk_io_mbps,network_mbps,request_count,error_count
2025-10-01T00:45:00,web-02,89.0,6650,5.47,71.22,363,5
2025-10-01T00:45:00,worker-01,48.3,1526,1.55,1.24,243,1
2025-10-01T00:45:00,db-primary,19.6,7689,11.69,69.42,342,2
2025-10-01T00:50:00,web-01,15.3,5426,6.58,99.34,130,2
2025-10-01T00:50:00,web-02,7.7,7572,47.44,10.67,218,0
2025-10-01T00:50:00,worker-01,24.7,4691,16.6,83.39,381,0
2025-10-01T00:50:00,db-primary,16.9,529,41.9,41.75,411,6
2025-10-01T00:55:00,web-01,60.9,875,34.18,47.08,287,0
2025-10-01T00:55:00,web-02,68.5,6275,2.05,15.52,328,3
2025-10-01T00:55:00,worker-01,14.1,1450,17.24,55.12,332,6
2025-10-01T00:55:00,db-primary,10.3,6041,36.26,26.27,208,4
2025-10-01T01:00:00,web-01,64.0,5578,6.97,46.35,71,1
2025-10-01T01:00:00,web-02,41.2,6923,2.21,86.62,340,5
2025-10-01T01:00:00,worker-01,58.3,636,28.12,75.63,324,5
2025-10-01T01:00:00,db-primary,54.3,1183,35.1,21.12,215,3
2025-10-01T01:05:00,web-01,46.8,6132,39.04,28.35,332,5
2025-10-01T01:05:00,web-02,55.0,868,29.83,60.98,311,3
2025-10-01T01:05:00,worker-01,66.0,7360,18.95,65.59,28,1
2025-10-01T01:05:00,db-primary,94.0,2386,48.48,77.09,5,1
2025-10-01T01:10:00,web-01,49.9,4614,24.56,19.6,297,3
2025-10-01T01:10:00,web-02,87.4,6932,26.29,25.57,84,0
2025-10-01T01:10:00,worker-01,89.4,4978,36.63,29.84,54,0
2025-10-01T01:10:00,db-primary,76.9,3445,47.93,46.92,264,4
2025-10-01T01:15:00,web-01,58.3,6910,32.96,86.91,409,0
2025-10-01T01:15:00,web-02,54.2,6853,11.64,5.55,110,0
2025-10-01T01:15:00,worker-01,19.4,7164,36.55,79.23,210,4
2025-10-01T01:15:00,db-primary,25.9,4707,4.5,60.42,278,1
2025-10-01T01:20:00,web-01,12.3,2419,35.44,46.06,48,1
2025-10-01T01:20:00,web-02,5.5,5613,38.64,4.5,141,0
2025-10-01T01:20:00,worker-01,84.5,6855,19.92,72.79,103,2
2025-10-01T01:20:00,db-primary,88.1,4667,35.1,1.22,85,1
2025-10-01T01:25:00,web-01,87.4,5242,5.3,71.91,441,4
2025-10-01T01:25:00,web-02,51.6,525,18.2,15.03,147,0
2025-10-01T01:25:00,worker-01,26.4,4571,6.47,15.36,196,0
2025-10-01T01:25:00,db-primary,61.5,7161,13.99,77.59,366,4
2025-10-01T01:30:00,web-01,53.9,3410,34.31,98.12,133,1
2025-10-01T01:30:00,web-02,35.7,2985,5.87,8.64,185,1
2025-10-01T01:30:00,worker-01,70.0,3848,7.04,77.52,197,3
2025-10-01T01:30:00,db-primary,81.7,5541,43.24,82.68,443,6
2025-10-01T01:35:00,web-01,77.7,2479,4.36,27.63,169,1
2025-10-01T01:35:00,web-02,62.4,3293,7.3,29.04,354,3
2025-10-01T01:35:00,worker-01,92.5,6160,4.57,20.56,250,0
2025-10-01T01:35:00,db-primary,87.9,7133,9.92,69.72,109,0
2025-10-01T01:40:00,web-01,64.9,1126,37.48,20.02,243,1
2025-10-01T01:40:00,web-02,55.4,6372,48.98,80.29,0,1
2025-10-01T01:40:00,worker-01,80.1,579,8.35,74.27,307,0
2025-10-01T01:40:00,db-primary,43.2,3795,32.9,61.78,316,2
2025-10-01T01:45:00,web-01,70.7,944,33.61,94.73,66,0
2025-10-01T01:45:00,web-02,87.6,3747,10.27,71.48,127,1
2025-10-01T01:45:00,worker-01,43.9,2153,34.04,81.26,397,4
2025-10-01T01:45:00,db-primary,78.9,6801,42.43,7.75,135,2
2025-10-01T01:50:00,web-01,27.3,1762,18.96,60.77,486,8
2025-10-01T01:50:00,web-02,14.4,5412,46.85,91.64,171,2
2025-10-01T01:50:00,worker-01,62.6,1559,23.22,76.33,341,5
2025-10-01T01:50:00,db-primary,54.4,6905,31.58,91.49,455,3
2025-10-01T01:55:00,web-01,73.2,5626,30.92,88.92,65,1
2025-10-01T01:55:00,web-02,56.8,1763,32.44,61.22,215,1
2025-10-01T01:55:00,worker-01,5.1,4351,3.45,98.11,82,0
2025-10-01T01:55:00,db-primary,10.1,2010,48.58,73.63,498,1
2025-10-01T02:00:00,web-01,76.8,6683,7.43,65.31,370,7
2025-10-01T02:00:00,web-02,15.2,5019,18.69,17.56,233,2
2025-10-01T02:00:00,worker-01,83.4,1028,3.31,57.1,255,5
2025-10-01T02:00:00,db-primary,36.0,4767,8.13,95.72,192,2
2025-10-01T02:05:00,web-01,54.3,7182,22.83,94.58,460,8
2025-10-01T02:05:00,web-02,21.7,1788,4.84,11.9,355,4
2025-10-01T02:05:00,worker-01,18.8,5694,42.84,92.0,467,1
2025-10-01T02:05:00,db-primary,79.4,677,47.62,23.7,226,0
2025-10-01T02:10:00,web-01,84.8,5714,11.84,7.53,170,2
2025-10-01T02:10:00,web-02,15.2,6424,26.06,55.34,499,5
2025-10-01T02:10:00,worker-01,8.8,6760,28.75,79.37,229,3
2025-10-01T02:10:00,db-primary,91.0,2915,42.46,19.65,365,1
2025-10-01T02:15:00,web-01,44.2,2520,30.57,61.48,476,5
2025-10-01T02:15:00,web-02,46.0,1432,11.96,32.93,476,0
2025-10-01T02:15:00,worker-01,20.6,5671,22.24,69.39,351,2
2025-10-01T02:15:00,db-primary,65.4,6974,5.55,32.0,460,6
2025-10-01T02:20:00,web-01,14.9,6762,18.09,36.03,134,0
2025-10-01T02:20:00,web-02,35.4,6575,31.9,95.22,451,3
2025-10-01T02:20:00,worker-01,17.4,4530,27.6,15.35,84,1
2025-10-01T02:20:00,db-primary,66.6,4079,30.19,88.15,192,3
2025-10-01T02:25:00,web-01,30.7,3228,22.74,1.01,420,6
2025-10-01T02:25:00,web-02,69.7,6595,19.9,83.14,372,0
2025-10-01T02:25:00,worker-01,29.0,2300,43.91,14.26,123,2
2025-10-01T02:25:00,db-primary,41.8,5731,41.25,58.96,130,2
2025-10-01T02:30:00,web-01,26.1,6030,3.95,6.99,17,1
2025-10-01T02:30:00,web-02,31.6,2122,25.26,41.71,301,2
2025-10-01T02:30:00,worker-01,19.8,925,49.0,53.73,192,0
2025-10-01T02:30:00,db-primary,18.9,6251,9.11,26.6,430,0
2025-10-01T02:35:00,web-01,91.0,3327,36.42,60.56,66,1
2025-10-01T02:35:00,web-02,11.9,826,12.08,33.26,212,3
2025-10-01T02:35:00,worker-01,92.2,4781,26.89,79.65,481,0
2025-10-01T02:35:00,db-primary,13.1,1035,7.28,60.34,293,1
2025-10-01T02:40:00,web-01,22.1,7797,21.05,52.88,63,0
2025-10-01T02:40:00,web-02,49.4,7789,3.83,23.4,312,5
2025-10-01T02:40:00,worker-01,64.4,1112,1.48,47.67,170,3
2025-10-01T02:40:00,db-primary,75.4,1185,3.87,68.46,245,2
2025-10-01T02:45:00,web-01,34.7,2328,0.33,82.24,302,1
2025-10-01T02:45:00,web-02,57.5,6934,10.56,39.73,143,1
2025-10-01T02:45:00,worker-01,43.5,6933,10.01,62.3,49,0
2025-10-01T02:45:00,db-primary,36.2,4169,12.66,94.6,328,6
2025-10-01T02:50:00,web-01,5.2,5977,33.16,63.93,114,1
2025-10-01T02:50:00,web-02,48.0,6034,15.83,44.12,428,7
2025-10-01T02:50:00,worker-01,38.1,4413,19.74,77.36,207,0
2025-10-01T02:50:00,db-primary,76.3,5665,19.61,60.51,374,1
2025-10-01T02:55:00,web-01,38.3,4311,33.35,77.2,307,2
2025-10-01T02:55:00,web-02,64.3,5215,40.3,8.37,168,2
2025-10-01T02:55:00,worker-01,43.6,5958,1.73,83.71,199,1
2025-10-01T02:55:00,db-primary,59.4,3794,10.6,59.85,63,1
2025-10-01T03:00:00,web-01,82.4,5264,25.84,14.49,99,1
2025-10-01T03:00:00,web-02,70.9,3058,6.68,60.28,93,1
2025-10-01T03:00:00,worker-01,90.3,6182,19.14,32.96,342,6
2025-10-01T03:00:00,db-primary,73.7,7736,7.53,77.58,306,4
2025-10-01T03:05:00,web-01,37.2,5351,30.19,67.31,123,0
2025-10-01T03:05:00,web-02,55.4,6471,29.98,55.82,262,1
2025-10-01T03:05:00,worker-01,39.8,1897,33.64,45.63,322,4
2025-10-01T03:05:00,db-primary,86.4,4072,7.33,63.7,493,2
2025-10-01T03:10:00,web-01,33.1,4276,39.79,38.65,171,1
2025-10-01T03:10:00,web-02,12.7,4255,26.46,10.52,397,5
2025-10-01T03:10:00,worker-01,53.7,4480,14.08,75.98,121,1
2025-10-01T03:10:00,db-primary,53.8,1296,25.61,76.03,494,0
2025-10-01T03:15:00,web-01,59.7,6396,36.9,72.76,145,1
2025-10-01T03:15:00,web-02,43.5,1222,34.19,3.18,283,1
2025-10-01T03:15:00,worker-01,85.2,7373,28.13,73.96,21,1
2025-10-01T03:15:00,db-primary,31.5,7185,9.48,82.38,114,2
2025-10-01T03:20:00,web-01,38.5,7762,33.66,15.35,446,8
2025-10-01T03:20:00,web-02,79.9,7273,23.9,14.24,152,3
2025-10-01T03:20:00,worker-01,17.0,5102,49.05,3.94,99,1
2025-10-01T03:20:00,db-primary,81.3,1070,29.14,7.39,55,1
2025-10-01T03:25:00,web-01,7.9,2100,29.14,75.48,468,7
2025-10-01T03:25:00,web-02,37.5,4848,2.39,27.11,300,3
2025-10-01T03:25:00,worker-01,78.5,5357,20.65,75.68,107,0
2025-10-01T03:25:00,db-primary,38.2,811,26.24,85.65,94,1
2025-10-01T03:30:00,web-01,77.1,6386,14.19,73.56,76,0
2025-10-01T03:30:00,web-02,66.9,1293,39.45,8.13,429,5
2025-10-01T03:30:00,worker-01,86.1,5367,43.34,55.72,488,5
2025-10-01T03:30:00,db-primary,80.6,3452,43.1,66.44,483,1
2025-10-01T03:35:00,web-01,53.2,7763,44.31,90.34,2,0
2025-10-01T03:35:00,web-02,90.0,6473,19.03,72.21,156,2
2025-10-01T03:35:00,worker-01,52.1,6792,32.12,77.45,388,5
2025-10-01T03:35:00,db-primary,44.6,1793,25.9,46.16,63,1
2025-10-01T03:40:00,web-01,8.9,1979,40.24,91.01,484,6
2025-10-01T03:40:00,web-02,83.0,5570,8.99,31.37,65,1
2025-10-01T03:40:00,worker-01,13.5,3865,31.72,61.49,334,3
2025-10-01T03:40:00,db-primary,88.4,2164,37.04,2.6,103,0
2025-10-01T03:45:00,web-01,59.4,1633,13.58,47.4,315,4
2025-10-01T03:45:00,web-02,14.5,2287,23.98,42.01,261,5
2025-10-01T03:45:00,worker-01,37.2,593,21.72,18.15,48,0
2025-10-01T03:45:00,db-primary,76.9,7783,2.09,12.48,80,0
2025-10-01T03:50:00,web-01,8.5,6251,33.85,3.19,203,4
2025-10-01T03:50:00,web-02,30.2,4457,10.64,87.31,68,1
2025-10-01T03:50:00,worker-01,21.1,2605,12.1,43.87,336,3
2025-10-01T03:50:00,db-primary,67.2,3763,14.69,79.95,327,0
2025-10-01T03:55:00,web-01,31.8,5528,14.57,95.21,334,0
2025-10-01T03:55:00,web-02,6.3,2722,29.64,99.45,123,1
2025-10-01T03:55:00,worker-01,20.7,5908,43.72,45.97,330,0
2025-10-01T03:55:00,db-primary,35.6,7481,7.5,27.11,369,2
2025-10-01T04:00:00,web-01,34.7,5112,7.82,73.48,155,0
2025-10-01T04:00:00,web-02,55.5,6683,30.75,88.59,253,5
2025-10-01T04:00:00,worker-01,54.6,2816,15.47,34.37,315,2
2025-10-01T04:00:00,db-primary,16.9,5020,44.26,35.4,385,4
2025-10-01T04:05:00,web-01,53.6,3667,33.48,19.53,381,2
2025-10-01T04:05:00,web-02,24.6,4961,28.8,97.12,298,1
2025-10-01T04:05:00,worker-01,39.6,1097,17.79,3.91,241,2
2025-10-01T04:05:00,db-primary,66.6,3169,38.3,47.88,21,0
2025-10-01T04:10:00,web-01,26.1,3849,31.94,21.5,313,5
2025-10-01T04:10:00,web-02,58.3,4433,49.24,46.28,21,1
2025-10-01T04:10:00,worker-01,52.9,4789,42.56,67.56,296,3
2025-10-01T04:10:00,db-primary,33.0,3924,7.96,44.37,459,7
2025-10-01T04:15:00,web-01,28.8,3418,32.23,59.3,316,2
2025-10-01T04:15:00,web-02,10.8,6543,12.91,76.41,477,4
2025-10-01T04:15:00,worker-01,16.6,1108,16.46,64.39,238,1
2025-10-01T04:15:00,db-primary,5.1,5326,6.47,20.9,288,1
2025-10-01T04:20:00,web-01,7.7,714,4.54,36.93,170,0
2025-10-01T04:20:00,web-02,36.5,4688,2.25,41.24,232,3
2025-10-01T04:20:00,worker-01,22.1,2491,42.22,54.13,50,1
2025-10-01T04:20:00,db-primary,90.0,3664,25.94,99.71,100,2
2025-10-01T04:25:00,web-01,26.2,746,43.8,95.66,462,7
2025-10-01T04:25:00,web-02,36.0,6283,25.58,96.45,294,5
2025-10-01T04:25:00,worker-01,41.4,4229,39.25,14.53,384,2
2025-10-01T04:25:00,db-primary,64.6,5070,13.43,15.04,313,1
2025-10-01T04:30:00,web-01,9.4,541,31.4,66.32,45,1
2025-10-01T04:30:00,web-02,61.7,4850,35.57,64.72,267,0
2025-10-01T04:30:00,worker-01,19.4,7798,9.31,76.52,224,2
2025-10-01T04:30:00,db-primary,18.0,7352,44.81,36.37,469,2
2025-10-01T04:35:00,web-01,40.6,2449,10.49,30.78,47,1
2025-10-01T04:35:00,web-02,8.0,795,23.6,91.14,173,0
2025-10-01T04:35:00,worker-01,39.9,1363,33.53,28.92,277,2
2025-10-01T04:35:00,db-primary,6.0,6409,2.23,66.9,237,4
2025-10-01T04:40:00,web-01,84.3,1125,6.58,46.92,389,1
2025-10-01T04:40:00,web-02,83.0,1207,8.63,69.9,498,4
2025-10-01T04:40:00,worker-01,7.9,1850,1.57,96.15,313,4
2025-10-01T04:40:00,db-primary,19.8,552,34.02,82.61,343,0
2025-10-01T04:45:00,web-01,44.3,594,2.29,17.51,115,1
2025-10-01T04:45:00,web-02,44.9,3041,36.48,85.37,400,6
2025-10-01T04:45:00,worker-01,32.9,7497,1.65,78.5,130,0
2025-10-01T04:45:00,db-primary,38.5,7487,16.08,89.97,498,3
2025-10-01T04:50:00,web-01,33.5,3520,23.17,12.19,237,1
2025-10-01T04:50:00,web-02,18.0,3995,48.13,28.44,325,4
2025-10-01T04:50:00,worker-01,43.9,6777,43.6,42.19,156,3
2025-10-01T04:50:00,db-primary,94.0,2102,15.33,96.24,399,6
2025-10-01T04:55:00,web-01,76.4,6765,43.76,99.54,88,0
2025-10-01T04:55:00,web-02,89.5,2088,14.91,96.95,451,8
2025-10-01T04:55:00,worker-01,75.1,6569,15.29,88.38,420,1
2025-10-01T04:55:00,db-primary,28.8,2893,26.45,20.99,39,1
2025-10-01T05:00:00,web-01,91.6,3910,30.9,84.6,421,7
2025-10-01T05:00:00,web-02,61.8,5019,23.24,80.04,387,3
2025-10-01T05:00:00,worker-01,78.4,2322,41.46,42.89,313,4
2025-10-01T05:00:00,db-primary,85.2,5343,45.68,35.05,498,0
2025-10-01T05:05:00,web-01,14.2,6371,9.99,43.63,105,1
2025-10-01T05:05:00,web-02,9.7,5770,8.81,45.28,161,1
2025-10-01T05:05:00,worker-01,13.5,5607,49.09,68.04,362,3
2025-10-01T05:05:00,db-primary,28.1,4531,0.32,96.62,351,4
2025-10-01T05:10:00,web-01,34.4,2579,7.1,56.88,261,5
2025-10-01T05:10:00,web-02,72.5,3210,19.62,66.94,91,0
2025-10-01T05:10:00,worker-01,76.8,5839,6.46,90.27,488,1
2025-10-01T05:10:00,db-primary,49.3,6427,25.5,73.21,493,8
2025-10-01T05:15:00,web-01,23.4,2758,39.35,38.37,185,2
2025-10-01T05:15:00,web-02,56.7,1920,40.86,56.49,56,0
2025-10-01T05:15:00,worker-01,76.8,7185,26.24,17.04,173,2
2025-10-01T05:15:00,db-primary,30.5,3477,14.39,34.89,46,0
2025-10-01T05:20:00,web-01,27.2,2733,25.44,46.23,427,4
2025-10-01T05:20:00,web-02,16.9,1471,13.44,12.68,160,2
2025-10-01T05:20:00,worker-01,12.8,4613,19.05,64.54,431,6
2025-10-01T05:20:00,db-primary,60.3,3582,6.52,23.91,346,0
2025-10-01T05:25:00,web-01,17.5,4066,13.67,51.53,453,7
2025-10-01T05:25:00,web-02,77.6,5984,23.7,55.3,137,1
2025-10-01T05:25:00,worker-01,15.6,5284,10.12,58.1,161,0
2025-10-01T05:25:00,db-primary,57.2,1605,8.23,32.63,152,2
2025-10-01T05:30:00,web-01,15.1,5941,20.06,20.73,1,0
2025-10-01T05:30:00,web-02,28.2,2492,6.23,57.62,43,0
2025-10-01T05:30:00,worker-01,43.9,4425,36.75,14.19,221,4
2025-10-01T05:30:00,db-primary,39.2,7675,37.31,3.02,58,1
2025-10-01T05:35:00,web-01,69.0,3767,26.3,70.28,218,0
2025-10-01T05:35:00,web-02,10.9,2156,25.96,60.33,483,0
2025-10-01T05:35:00,worker-01,27.7,6506,20.36,27.95,358,0
2025-10-01T05:35:00,db-primary,39.1,7170,32.49,95.02,333,5
2025-10-01T05:40:00,web-01,19.8,674,6.65,22.86,171,3
2025-10-01T05:40:00,web-02,71.6,2467,12.07,33.93,117,2
2025-10-01T05:40:00,worker-01,57.8,3412,7.04,53.72,21,1
2025-10-01T05:40:00,db-primary,54.9,2103,11.05,70.36,22,0
2025-10-01T05:45:00,web-01,91.1,7367,22.11,17.99,32,1
2025-10-01T05:45:00,web-02,40.5,932,8.33,1.45,363,4
2025-10-01T05:45:00,worker-01,16.5,4011,36.51,6.37,350,0
2025-10-01T05:45:00,db-primary,74.0,3919,35.95,36.1,285,1
2025-10-01T05:50:00,web-01,64.9,1914,24.87,75.24,257,4
2025-10-01T05:50:00,web-02,67.9,3221,13.96,69.27,324,1
2025-10-01T05:50:00,worker-01,32.1,5447,11.24,29.33,467,6
2025-10-01T05:50:00,db-primary,72.7,4857,35.23,5.55,140,2
2025-10-01T05:55:00,web-01,55.8,1868,48.1,26.88,276,3
2025-10-01T05:55:00,web-02,57.4,7138,15.39,23.13,269,5
2025-10-01T05:55:00,worker-01,87.2,5035,45.15,66.02,307,5
2025-10-01T05:55:00,db-primary,80.0,7024,37.92,38.86,294,0
2025-10-01T06:00:00,web-01,28.1,6171,49.8,70.34,249,0
2025-10-01T06:00:00,web-02,39.9,7447,1.33,44.6,138,0
2025-10-01T06:00:00,worker-01,17.9,1000,47.05,6.26,127,1
2025-10-01T06:00:00,db-primary,41.7,1978,26.88,48.7,51,0
2025-10-01T06:05:00,web-01,54.9,6030,42.55,50.56,148,1
2025-10-01T06:05:00,web-02,34.1,3702,37.35,93.8,313,0
2025-10-01T06:05:00,worker-01,15.8,7245,49.12,26.66,456,0
2025-10-01T06:05:00,db-primary,59.0,6372,30.0,56.24,257,2
2025-10-01T06:10:00,web-01,7.0,650,21.03,52.88,148,2
2025-10-01T06:10:00,web-02,80.3,7125,45.53,44.76,102,2
2025-10-01T06:10:00,worker-01,6.7,3558,18.9,89.16,301,0
2025-10-01T06:10:00,db-primary,39.6,6262,45.02,7.07,348,6
2025-10-01T06:15:00,web-01,64.2,3249,6.84,84.23,219,1
2025-10-01T06:15:00,web-02,35.2,2982,37.29,64.15,439,7
2025-10-01T06:15:00,worker-01,43.6,1389,3.43,72.46,245,4
2025-10-01T06:15:00,db-primary,80.0,3077,10.6,27.83,166,0
2025-10-01T06:20:00,web-01,76.5,4914,2.6,5.22,366,2
2025-10-01T06:20:00,web-02,24.3,4568,48.36,87.8,400,5
2025-10-01T06:20:00,worker-01,90.3,586,5.89,86.46,389,7
2025-10-01T06:20:00,db-primary,87.2,788,27.75,70.28,198,2
2025-10-01T06:25:00,web-01,59.2,7415,43.71,58.61,212,1
2025-10-01T06:25:00,web-02,86.7,606,47.7,55.15,5,0
2025-10-01T06:25:00,worker-01,32.0,7305,22.04,13.79,163,3
2025-10-01T06:25:00,db-primary,25.9,2958,38.22,45.61,16,0
2025-10-01T06:30:00,web-01,79.1,2763,26.5,61.43,477,8
2025-10-01T06:30:00,web-02,13.5,5630,39.7,33.07,310,5
2025-10-01T06:30:00,worker-01,66.1,565,14.26,38.01,30,1
2025-10-01T06:30:00,db-primary,5.1,5074,22.54,31.73,493,2
2025-10-01T06:35:00,web-01,47.8,6739,28.37,77.3,328,3
2025-10-01T06:35:00,web-02,55.0,3669,28.28,51.3,233,2
2025-10-01T06:35:00,worker-01,38.3,3884,44.79,70.07,177,1
2025-10-01T06:35:00,db-primary,72.9,621,10.98,80.83,10,0
2025-10-01T06:40:00,web-01,53.6,6769,31.68,86.78,195,2
2025-10-01T06:40:00,web-02,9.9,2037,0.34,85.45,271,4
2025-10-01T06:40:00,worker-01,9.1,7214,25.98,42.4,389,0
2025-10-01T06:40:00,db-primary,75.3,7251,37.14,52.29,164,1
2025-10-01T06:45:00,web-01,19.2,6407,45.9,25.45,342,2
2025-10-01T06:45:00,web-02,56.3,6550,47.79,17.45,455,2
2025-10-01T06:45:00,worker-01,46.5,7319,15.82,99.64,165,3
2025-10-01T06:45:00,db-primary,15.6,981,42.16,84.17,183,1
2025-10-01T06:50:00,web-01,28.6,6892,38.43,70.05,113,2
2025-10-01T06:50:00,web-02,21.4,5052,40.07,28.08,108,2
2025-10-01T06:50:00,worker-01,67.6,4839,41.16,74.9,328,2
2025-10-01T06:50:00,db-primary,14.9,5613,38.25,67.58,482,9
2025-10-01T06:55:00,web-01,69.1,1857,34.69,71.2,493,9
2025-10-01T06:55:00,web-02,38.5,2675,17.0,3.28,339,5
2025-10-01T06:55:00,worker-01,31.6,894,33.49,28.22,260,0
2025-10-01T06:55:00,db-primary,69.7,4460,29.92,56.88,170,0
2025-10-01T07:00:00,web-01,62.8,1977,36.89,70.77,209,0
2025-10-01T07:00:00,web-02,83.0,2453,35.89,52.84,226,2
2025-10-01T07:00:00,worker-01,43.6,5846,43.64,16.5,64,1
2025-10-01T07:00:00,db-primary,49.2,1587,25.79,26.22,468,5
2025-10-01T07:05:00,web-01,29.3,6716,16.13,52.78,222,4
2025-10-01T07:05:00,web-02,52.1,5934,14.86,47.53,112,1
2025-10-01T07:05:00,worker-01,6.1,2744,13.42,99.88,90,1
2025-10-01T07:05:00,db-primary,91.5,1097,30.66,13.58,74,1
2025-10-01T07:10:00,web-01,8.8,3613,40.68,94.01,406,0
2025-10-01T07:10:00,web-02,9.2,3467,16.43,58.84,106,1
2025-10-01T07:10:00,worker-01,92.0,6102,47.59,36.5,383,3
2025-10-01T07:10:00,db-primary,29.4,7459,0.19,75.62,378,2
2025-10-01T07:15:00,web-01,48.5,3715,40.79,50.82,243,3
2025-10-01T07:15:00,web-02,85.3,4243,21.18,54.36,257,5
2025-10-01T07:15:00,worker-01,17.7,3783,42.44,83.52,398,5
2025-10-01T07:15:00,db-primary,39.9,5502,2.64,81.24,331,1
2025-10-01T07:20:00,web-01,14.8,2142,25.41,82.73,500,3
2025-10-01T07:20:00,web-02,87.2,1753,35.98,70.94,299,5
2025-10-01T07:20:00,worker-01,64.0,5585,11.27,68.23,475,4
2025-10-01T07:20:00,db-primary,75.3,1988,38.5,37.16,279,3
2025-10-01T07:25:00,web-01,64.7,4325,45.86,58.73,153,3
2025-10-01T07:25:00,web-02,82.3,5876,32.13,10.66,16,0
2025-10-01T07:25:00,worker-01,58.2,6566,15.56,85.53,98,0
2025-10-01T07:25:00,db-primary,90.5,2649,19.12,88.92,63,1
2025-10-01T07:30:00,web-01,55.4,2149,24.71,22.0,252,4
2025-10-01T07:30:00,web-02,31.6,3533,23.46,81.35,400,7
2025-10-01T07:30:00,worker-01,88.9,5855,28.69,68.8,413,3
2025-10-01T07:30:00,db-primary,19.5,7057,8.25,68.69,285,1
2025-10-01T07:35:00,web-01,13.3,5199,6.22,79.39,182,0
2025-10-01T07:35:00,web-02,35.6,5469,28.6,29.17,130,2
2025-10-01T07:35:00,worker-01,59.9,783,12.43,23.93,97,1
2025-10-01T07:35:00,db-primary,44.4,2353,47.93,77.29,474,6
2025-10-01T07:40:00,web-01,25.3,1457,39.25,46.1,79,1
2025-10-01T07:40:00,web-02,91.2,3021,49.26,13.79,161,2
2025-10-01T07:40:00,worker-01,78.3,6490,27.09,15.76,14,1
2025-10-01T07:40:00,db-primary,61.9,3431,14.06,19.51,108,2
2025-10-01T07:45:00,web-01,18.2,4547,7.92,51.57,143,2
2025-10-01T07:45:00,web-02,15.5,5964,36.97,3.63,187,3
2025-10-01T07:45:00,worker-01,53.1,5933,14.5,13.13,82,1
2025-10-01T07:45:00,db-primary,51.5,6089,28.17,20.35,176,3
2025-10-01T07:50:00,web-01,85.6,3144,29.29,78.39,440,7
2025-10-01T07:50:00,web-02,61.6,2175,47.37,2.89,344,3
2025-10-01T07:50:00,worker-01,51.8,3386,32.99,66.09,92,1
2025-10-01T07:50:00,db-primary,24.0,1613,16.23,78.66,146,2
2025-10-01T07:55:00,web-01,52.2,7794,41.1,12.79,387,0
2025-10-01T07:55:00,web-02,91.0,858,30.37,6.68,108,0
